場所名稱,場所縣市,場所區域,場所地址,場所分類,場所類型,其他類型,場所描述,AED放置地點,AED地點描述,地點LAT,地點LNG,全年全天開放大眾使用,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,開放時間緊急連絡電話
交通部臺灣鐵路管理局宜蘭運務段瑞芳站,新北市,瑞芳區,龍潭里明燈路3段82號,交通要衝,台鐵車站,,,前站候車大廳無障礙入口右側,前站候車大廳無障礙入口右側,25.108928,121.806149,X,05:59,23:33,04:13,23:59,04:13,23:59,星期五跨星期六及星期六跨星期日及星期日跨星期一延長上班營業時間至凌晨00:14,02-24972033
交通部臺灣鐵路管理局宜蘭運務段蘇澳站,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮蘇南里太平路1號,交通要衝,台鐵車站,,,剪收票口旁,剪收票口旁(右手邊),24.595168,121.85149,X,05:00,23:30,05:00,23:30,05:00,23:30,依車站營業時間,03-9962028
國立交通大學光復校區,新竹市,東區,大學路1001號,學校、集會場所或特殊機構,大專院校,,,國立交通大學光復校區 行政大樓一樓大廳,行政大樓一樓大廳,24.789071,120.999645,Y,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,,03-5731906
崑山科技大學,台南市,永康區,大灣路949號,學校、集會場所或特殊機構,大專院校,,,行政大樓1樓守衛室旁,進入行政大樓門口，即可看見AED設置於守衛室旁,22.997161,120.253872,X,08:00,17:00,08:00,17:00,00:00,00:00,,(06)2051223
國立交通大學臺南分部,台南市,歸仁區,臺南市歸仁區高發三路301號,學校、集會場所或特殊機構,大專院校,,,國立交通大學臺南分部 奇美樓1樓大廳,奇美樓1樓大廳,22.927002,120.293327,X,08:00,17:00,,,,,,3032121#57730
臺東縣池上鄉衛生所,台東縣,池上鄉,中山路104號,其他,其他場所,行政機關,,本所一樓大廳,本所一樓大廳面對掛號室右側,23.121787,121.214741,X,08:00,17:30,,,,,星期六、日及國定假日休息,089-862609
月眉國際開發股份有限公司麗寶樂園,台中市,后里區,福容路3號,觀光旅遊地區,民營遊樂業,,,馬拉灣遊客服務中心,馬拉灣天晴廣場遊客服務中心旁,24.321445,120.695286,X,09:30,17:00,09:30,17:00,09:30,17:00,暑假延長開放使用到20:00 ; 營業期間為每年五月到十月中旬,04-25586088#7081
台東縣太麻里鄉衛生所,台東縣,太麻里鄉,泰和村民權街66號,其他,其他場所,衛生所,本所位於南迴公路旁毗鄰太麻里鄉公所,本所一樓右側,本所一樓門診候診室右側,22.615251,121.007457,X,08:00,17:30,,,,,本所12:00~13:30中午休息,089-781220
嘉義縣議會,嘉義縣,朴子市,嘉義縣朴子市祥和新村祥和一路西段一號,學校、集會場所或特殊機構,議會,,嘉義縣總務組,總務組入口右側,嘉義縣總務組,23.459266,120.291512,X,08:00,17:00,,,,,,05-3620076-131
金門酒廠實業股份有公司/金寧廠,金門縣,金寧鎮,桃園路1號,購物場所,福利站,,,金寧廠福利大樓,職工福利中心/販售部入口處,24.432504,118.345404,X,08:00,17:30,08:00,17:30,08:00,17:30,國定假日不開放,082-325628#83131
苗栗縣後龍鎮戶政事務所,苗栗縣,後龍鎮,中山路142號,其他,其他場所,公家機關,"位於後龍鎮行政區域,後龍鎮公所旁",置於民眾等待區,置於本所民眾等待區及飲水機旁,24.613859,120.791683,X,08:00,17:00,00:00,00:00,00:00,00:00,,037-722061
金水學校展示館,金門縣,金城鎮,前水頭47號,觀光旅遊地區,國家公園,,,金水國小,展示館入口處右側,24.409321,118.297989,Y,08:30,17:00,,,08:00,17:00,除夕休館,082-313271
國立台東女中,台東縣,台東市,四維路一段690號,學校、集會場所或特殊機構,高中職,,,健康中心前,行政大樓健康中心前,22.759236,121.154553,Y,07:00,07:00,07:00,07:00,07:00,07:00,,089-321268
苗栗縣後龍鎮中和國民小學,苗栗縣,後龍鎮,中和里14鄰152號,學校、集會場所或特殊機構,國小,,,健康中心,1樓健康中心,24.587861,120.735385,X,07:30,17:00,,,,,,037-921451
竹南后厝龍鳳宮,苗栗縣,竹南鎮,龍鳳里12鄰龍安街69號,其他,其他場所,寺廟,服務台旁,服務台旁,服務台旁,24.693493,120.866529,X,08:00,17:00,,,,,,37464620
臺中市和平區公所,台中市,和平區,南勢里東關路三段156號,其他,其他場所,區公所,臺中市和平區公所一樓大廳,公所一樓,放置於公所一樓正面對門口之服務台,24.175259,120.883598,N,08:00,17:00,00:00,00:00,00:00,00:00,,04-25941501#242
苗栗縣南庄鄉田美國民小學,苗栗縣,南庄鄉,田美村191號,學校、集會場所或特殊機構,國小,,,苗栗縣南庄鄉田美國民小學禮堂,田美國民小學禮堂,24.629249,121.008053,X,08:00,16:00,,,,,,037-822445
苗栗縣立大同高級中學,苗栗縣,竹南鎮,公義路890號,學校、集會場所或特殊機構,高中職,,,致學樓,致學樓一樓川堂,24.707893,120.895333,X,17:00,,,,,,,8.86936E+11
臺中市政府臺灣大道市政大樓,台中市,西屯區,臺灣大道三段99號,其他,其他場所,辦公大樓,,臺灣大道市政大樓惠中樓B1餐廳,放置於餐廳入口處外附近,24.162188,120.646307,X,07:00,18:00,00:00,00:00,00:00,00:00,國定假日不對外開放,(04)22289111#11728
臺中市政府臺灣大道市政大樓,台中市,西屯區,臺灣大道三段99號,其他,其他場所,辦公大樓,,臺灣大道市政大樓4F集會堂,集會堂靠惠中樓一側,24.161875,120.646907,X,07:00,18:00,00:00,00:00,00:00,00:00,國定假日不對外開放,(04)22289111#11728
臺中市大墩文化中心,台中市,西區,英才路600號,休閒場所,圖書館,文化中心,,1F服務台,1F服務台右後方,24.141103,120.665765,X,09:00,21:00,09:00,21:00,09:00,21:00,星期一休館,04-23727311-208
臺中市政府陽明市政大樓,台中市,豐原區,陽明街36號,其他,其他場所,辦公大樓,,陽明市政大樓B1餐廳前,陽明市政大樓B1信望愛甜甜屋招牌旁,24.246451,120.720604,X,07:00,18:00,00:00,00:00,00:00,00:00,國定假日不對外開放,(04)22289111#11728
臺中市政府-陽明市政大樓,台中市,豐原區,陽明街36號,其他,其他場所,辦公大樓,,陽明市政大樓5F大禮堂,陽明市政大樓5F大禮堂外側,24.246738,120.720623,X,07:00,18:00,00:00,00:00,00:00,00:00,,(04)22289111#11722
國立臺灣工藝研究發展中心,南投縣,草屯鎮,中正路573號,觀光旅遊地區,文化園區,,,地方工藝館1F服務台,地方工藝館1F服務台對面,23.980775,120.691857,X,09:00,17:00,09:00,17:00,09:00,17:00,＊星期一休館不開放,049-2334141
